START:  w1
add , b3 , commit :  true , status : 0 , QTime : 647 , None , FileProcessing :  650.208007812
add , b3 , commit :  true , status : 0 , QTime : 603 , None , FileProcessing :  606.785888672
add , b3 , commit :  true , status : 0 , QTime : 992 , None , FileProcessing :  994.9140625
add , b3 , commit :  true , status : 0 , QTime : 640 , None , FileProcessing :  642.318115234
add , b3 , commit :  true , status : 0 , QTime : 1800 , None , FileProcessing :  1802.30883789
add , b3 , commit :  true , status : 0 , QTime : 606 , None , FileProcessing :  609.236816406
add , b3 , commit :  true , status : 0 , QTime : 610 , None , FileProcessing :  612.969970703
add , b3 , commit :  true , status : 0 , QTime : 1736 , None , FileProcessing :  1738.6340332
add , b3 , commit :  true , status : 0 , QTime : 583 , None , FileProcessing :  586.186035156
add , b3 , commit :  true , status : 0 , QTime : 624 , None , FileProcessing :  628.163085938
add , b3 , commit :  true , status : 0 , QTime : 622 , None , FileProcessing :  626.361083984
add , b3 , commit :  true , status : 0 , QTime : 650 , None , FileProcessing :  653.866943359
add , b3 , commit :  true , status : 0 , QTime : 1785 , None , FileProcessing :  1787.54589844
add , b3 , commit :  true , status : 0 , QTime : 677 , None , FileProcessing :  680.800048828
add , b3 , commit :  true , status : 0 , QTime : 619 , None , FileProcessing :  622.083984375
add , b3 , commit :  true , status : 0 , QTime : 606 , None , FileProcessing :  608.031982422
add , b3 , commit :  true , status : 0 , QTime : 1291 , None , FileProcessing :  1293.69799805
add , b3 , commit :  true , status : 0 , QTime : 639 , None , FileProcessing :  641.57421875
add , b3 , commit :  true , status : 0 , QTime : 1482 , None , FileProcessing :  1485.23608398
add , b3 , commit :  true , status : 0 , QTime : 1676 , None , FileProcessing :  1679.5690918
add , b3 , commit :  true , status : 0 , QTime : 1229 , None , FileProcessing :  1232.23095703
add , b3 , commit :  true , status : 0 , QTime : 673 , None , FileProcessing :  677.033691406
add , b3 , commit :  true , status : 0 , QTime : 600 , None , FileProcessing :  603.861816406
add , b3 , commit :  true , status : 0 , QTime : 660 , None , FileProcessing :  663.870849609
add , b3 , commit :  true , status : 0 , QTime : 636 , None , FileProcessing :  639.865966797
add , b3 , commit :  true , status : 0 , QTime : 1157 , None , FileProcessing :  1160.48608398
add , b3 , commit :  true , status : 0 , QTime : 1291 , None , FileProcessing :  1293.42700195
add , b3 , commit :  true , status : 0 , QTime : 1628 , None , FileProcessing :  1631.77807617
add , b3 , commit :  true , status : 0 , QTime : 604 , None , FileProcessing :  606.975830078
add , b3 , commit :  true , status : 0 , QTime : 610 , None , FileProcessing :  613.12109375
add , b3 , commit :  true , status : 0 , QTime : 666 , None , FileProcessing :  668.808837891
add , b3 , commit :  true , status : 0 , QTime : 1186 , None , FileProcessing :  1189.0559082
add , b3 , commit :  true , status : 0 , QTime : 592 , None , FileProcessing :  595.365234375
add , b3 , commit :  true , status : 0 , QTime : 672 , None , FileProcessing :  676.246337891
add , b3 , commit :  true , status : 0 , QTime : 2158 , None , FileProcessing :  2160.64208984
add , b3 , commit :  true , status : 0 , QTime : 590 , None , FileProcessing :  593.244873047
add , b3 , commit :  true , status : 0 , QTime : 624 , None , FileProcessing :  627.99609375
add , b3 , commit :  true , status : 0 , QTime : 622 , None , FileProcessing :  625.349121094
add , b3 , commit :  true , status : 0 , QTime : 652 , None , FileProcessing :  655.439208984
add , b3 , commit :  true , status : 0 , QTime : 1644 , None , FileProcessing :  1647.8659668
add , b3 , commit :  true , status : 0 , QTime : 658 , None , FileProcessing :  661.180908203
add , b3 , commit :  true , status : 0 , QTime : 604 , None , FileProcessing :  606.472900391
add , b3 , commit :  true , status : 0 , QTime : 668 , None , FileProcessing :  671.25390625
add , b3 , commit :  true , status : 0 , QTime : 1194 , None , FileProcessing :  1197.12011719
add , b3 , status : 0 , Total :  93600.3342285
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
