,,,,
,,,,
Min - Seconds,Verb,,,
Workload,GetRecord,ListIdentifiers,ListRecords,ListSets
w1,0.01,0.01,0.48,0
w10,0.59,13.38,18.9,0.24
w11,1.2,28.46,33.46,0.49
w12,2.45,61.86,66.95,0.99
w13,4.87,133.94,139.72,1.99
w14,10.72,548.08,586.45,11.61
w15,608.11,1922.89,1937.09,609.18
w2,0.01,0.02,0.98,0.01
w3,0.01,0.06,2,0
w4,0.02,0.17,4.12,0.01
w5,0.02,0.39,5.41,0.01
w6,0.05,0.77,5.94,0.02
w7,0.08,1.53,6.73,0.04
w8,0.15,3.09,8.37,0.07
w9,0.3,6.25,11.68,0.12
