,,,,
,,,,
Min - Seconds,Verb,,,
Workload,GetRecord,ListIdentifiers,ListRecords,ListSets
w1,0.01,0.02,0.49,0.01
w10,0.97,14.23,19.43,0.89
w11,1.73,28.77,33.31,1.4
w12,3.18,56.51,65.78,2.24
w13,6.16,141.94,147.23,3.79
w14,168.91,699.98,704.08,161.98
w15,257.12,1342.29,1317.7,248.24
w2,0.02,0.04,0.99,0.02
w3,0.02,0.08,2.02,0.03
w4,0.04,0.21,4.2,0.05
w5,0.06,0.47,5.57,0.08
w6,0.1,0.89,6.06,0.14
w7,0.19,1.74,6.98,0.22
w8,0.31,3.44,8.79,0.35
w9,0.54,6.9,12.43,0.54
