START:  w1
add , b3 , commit :  true , status : 0 , QTime : 605 , None , FileProcessing :  607.980957031
add , b3 , commit :  true , status : 0 , QTime : 1226 , None , FileProcessing :  1229.22900391
add , b3 , commit :  true , status : 0 , QTime : 1204 , None , FileProcessing :  1206.47680664
add , b3 , commit :  true , status : 0 , QTime : 1736 , None , FileProcessing :  1738.91918945
add , b3 , commit :  true , status : 0 , QTime : 2016 , None , FileProcessing :  2019.3112793
add , b3 , commit :  true , status : 0 , QTime : 958 , None , FileProcessing :  961.958007812
add , b3 , commit :  true , status : 0 , QTime : 604 , None , FileProcessing :  607.097167969
add , b3 , commit :  true , status : 0 , QTime : 609 , None , FileProcessing :  612.369873047
add , b3 , commit :  true , status : 0 , QTime : 645 , None , FileProcessing :  647.948242188
add , b3 , commit :  true , status : 0 , QTime : 698 , None , FileProcessing :  701.020996094
add , b3 , commit :  true , status : 0 , QTime : 1748 , None , FileProcessing :  1751.70605469
add , b3 , commit :  true , status : 0 , QTime : 1182 , None , FileProcessing :  1184.91894531
add , b3 , commit :  true , status : 0 , QTime : 678 , None , FileProcessing :  680.671875
add , b3 , commit :  true , status : 0 , QTime : 601 , None , FileProcessing :  605.368896484
add , b3 , commit :  true , status : 0 , QTime : 631 , None , FileProcessing :  634.927001953
add , b3 , commit :  true , status : 0 , QTime : 1074 , None , FileProcessing :  1076.94506836
add , b3 , commit :  true , status : 0 , QTime : 1803 , None , FileProcessing :  1806.16699219
add , b3 , commit :  true , status : 0 , QTime : 606 , None , FileProcessing :  609.530761719
add , b3 , commit :  true , status : 0 , QTime : 648 , None , FileProcessing :  651.106933594
add , b3 , commit :  true , status : 0 , QTime : 2264 , None , FileProcessing :  2267.20800781
add , b3 , commit :  true , status : 0 , QTime : 591 , None , FileProcessing :  594.726074219
add , b3 , commit :  true , status : 0 , QTime : 664 , None , FileProcessing :  668.672851562
add , b3 , commit :  true , status : 0 , QTime : 649 , None , FileProcessing :  653.234863281
add , b3 , commit :  true , status : 0 , QTime : 608 , None , FileProcessing :  611.695068359
add , b3 , commit :  true , status : 0 , QTime : 1745 , None , FileProcessing :  1748.70800781
add , b3 , commit :  true , status : 0 , QTime : 694 , None , FileProcessing :  697.852050781
add , b3 , commit :  true , status : 0 , QTime : 624 , None , FileProcessing :  626.627197266
add , b3 , commit :  true , status : 0 , QTime : 597 , None , FileProcessing :  599.807861328
add , b3 , commit :  true , status : 0 , QTime : 1322 , None , FileProcessing :  1326.32226562
add , b3 , commit :  true , status : 0 , QTime : 1589 , None , FileProcessing :  1594.0300293
add , b3 , commit :  true , status : 0 , QTime : 597 , None , FileProcessing :  601.273193359
add , b3 , commit :  true , status : 0 , QTime : 1219 , None , FileProcessing :  1223.49975586
add , b3 , commit :  true , status : 0 , QTime : 614 , None , FileProcessing :  617.680908203
add , b3 , commit :  true , status : 0 , QTime : 597 , None , FileProcessing :  600.622070312
add , b3 , commit :  true , status : 0 , QTime : 1027 , None , FileProcessing :  1029.22314453
add , b3 , commit :  true , status : 0 , QTime : 1531 , None , FileProcessing :  1533.76611328
add , b3 , commit :  true , status : 0 , QTime : 605 , None , FileProcessing :  607.425048828
add , b3 , commit :  true , status : 0 , QTime : 2112 , None , FileProcessing :  2116.25708008
add , b3 , status : 0 , Total :  98496.0229492
add , b4 , commit :  true , status : 0 , QTime : 649 , None , FileProcessing :  666.125976562
add , b4 , commit :  true , status : 0 , QTime : 613 , None , FileProcessing :  632.284179688
add , b4 , commit :  true , status : 0 , QTime : 709 , None , FileProcessing :  713.1796875
add , b4 , commit :  true , status : 0 , QTime : 611 , None , FileProcessing :  626.528076172
add , b4 , commit :  true , status : 0 , QTime : 602 , None , FileProcessing :  605.549072266
add , b4 , commit :  true , status : 0 , QTime : 1212 , None , FileProcessing :  1215.98706055
add , b4 , commit :  true , status : 0 , QTime : 1190 , None , FileProcessing :  1193.64599609
add , b4 , commit :  true , status : 0 , QTime : 740 , None , FileProcessing :  743.553222656
add , b4 , commit :  true , status : 0 , QTime : 1426 , None , FileProcessing :  1562.07885742
add , b4 , commit :  true , status : 0 , QTime : 1590 , None , FileProcessing :  1599.86010742
add , b4 , commit :  true , status : 0 , QTime : 1215 , None , FileProcessing :  1219.16577148
add , b4 , commit :  true , status : 0 , QTime : 599 , None , FileProcessing :  604.060058594
add , b4 , commit :  true , status : 0 , QTime : 732 , None , FileProcessing :  735.763671875
add , b4 , commit :  true , status : 0 , QTime : 1144 , None , FileProcessing :  1148.20019531
add , b4 , commit :  true , status : 0 , QTime : 1100 , None , FileProcessing :  1105.12207031
add , b4 , commit :  true , status : 0 , QTime : 881 , None , FileProcessing :  885.325195312
add , b4 , commit :  true , status : 0 , QTime : 1538 , None , FileProcessing :  1540.203125
add , b4 , commit :  true , status : 0 , QTime : 592 , None , FileProcessing :  594.028808594
add , b4 , commit :  true , status : 0 , QTime : 1151 , None , FileProcessing :  1154.82617188
add , b4 , commit :  true , status : 0 , QTime : 616 , None , FileProcessing :  620.014892578
add , b4 , commit :  true , status : 0 , QTime : 1519 , None , FileProcessing :  1522.34106445
add , b4 , commit :  true , status : 0 , QTime : 594 , None , FileProcessing :  597.021972656
add , b4 , commit :  true , status : 0 , QTime : 686 , None , FileProcessing :  689.890136719
add , b4 , commit :  true , status : 0 , QTime : 989 , None , FileProcessing :  993.117919922
add , b4 , commit :  true , status : 0 , QTime : 1315 , None , FileProcessing :  1317.92504883
add , b4 , commit :  true , status : 0 , QTime : 613 , None , FileProcessing :  616.829101562
add , b4 , commit :  true , status : 0 , QTime : 681 , None , FileProcessing :  683.763916016
add , b4 , commit :  true , status : 0 , QTime : 1247 , None , FileProcessing :  1250.65405273
add , b4 , commit :  true , status : 0 , QTime : 1372 , None , FileProcessing :  1507.01220703
add , b4 , commit :  true , status : 0 , QTime : 637 , None , FileProcessing :  641.278076172
add , b4 , commit :  true , status : 0 , QTime : 600 , None , FileProcessing :  603.925048828
add , b4 , commit :  true , status : 0 , QTime : 606 , None , FileProcessing :  609.493896484
add , b4 , commit :  true , status : 0 , QTime : 1561 , None , FileProcessing :  1563.60791016
add , b4 , commit :  true , status : 0 , QTime : 657 , None , FileProcessing :  659.032958984
add , b4 , commit :  true , status : 0 , QTime : 600 , None , FileProcessing :  602.362792969
add , b4 , commit :  true , status : 0 , QTime : 635 , None , FileProcessing :  637.938232422
add , b4 , commit :  true , status : 0 , QTime : 2142 , None , FileProcessing :  2145.38818359
add , b4 , commit :  true , status : 0 , QTime : 597 , None , FileProcessing :  600.504882812
add , b4 , commit :  true , status : 0 , QTime : 693 , None , FileProcessing :  696.446044922
add , b4 , commit :  true , status : 0 , QTime : 642 , None , FileProcessing :  644.623046875
add , b4 , commit :  true , status : 0 , QTime : 1764 , None , FileProcessing :  1767.77001953
add , b4 , commit :  true , status : 0 , QTime : 618 , None , FileProcessing :  621.501953125
add , b4 , commit :  true , status : 0 , QTime : 728 , None , FileProcessing :  733.729736328
add , b4 , commit :  true , status : 0 , QTime : 599 , None , FileProcessing :  602.385009766
add , b4 , commit :  true , status : 0 , QTime : 608 , None , FileProcessing :  611.397949219
add , b4 , commit :  true , status : 0 , QTime : 1245 , None , FileProcessing :  1249.60888672
add , b4 , commit :  true , status : 0 , QTime : 1168 , None , FileProcessing :  1172.33520508
add , b4 , commit :  true , status : 0 , QTime : 1269 , None , FileProcessing :  1272.72192383
add , b4 , commit :  true , status : 0 , QTime : 1300 , None , FileProcessing :  1304.1730957
add , b4 , commit :  true , status : 0 , QTime : 613 , None , FileProcessing :  616.718994141
add , b4 , commit :  true , status : 0 , QTime : 606 , None , FileProcessing :  609.366943359
add , b4 , commit :  true , status : 0 , QTime : 618 , None , FileProcessing :  622.068359375
add , b4 , commit :  true , status : 0 , QTime : 720 , None , FileProcessing :  723.961181641
add , b4 , commit :  true , status : 0 , QTime : 610 , None , FileProcessing :  612.83203125
